time,Acc. volume - continuous gas,Acc. volume - continuous oil,Acc. volume - bubbles,Acc. volume - droplets,Acc. volume - total gas,Acc. volume - total liquid,Acc. volume - total,Temperature - average,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,MF - continuous gas,MF - continuous oil,MF - bubbles,MF - droplets,MF - total gas,MF - total oil,Pressure,Std. VFR - total gas,Std. VFR - total oil,Temperature - gas,Temperature - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil
[s],[?],[?],[?],[?],[?],[?],[?],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[?],[-],[-],[?],[?],[Pa],[?],[?],[C],[C],[?],[?],[-],[-],[-],[-]
1314.2987827657091,0,18.59637382044677,0,0,0,18.59637382044677,18.59637382044677,3.4221803334156675,0,0.25902635258997353,0,0,0,0.25902635258997353,0.25902635258997353,0,1,0,0,0,1,80,11978.105135961527,0,3.4221803334156675,3.4221803334156675,0,1,0,0,0,1
1397.4303988063934,0,18.617082988379103,0,0,0,18.617082988379103,18.617082988379103,3.4829250394647033,0,0.2240698034238256,0,0,0,0.2240698034238256,0.2240698034238256,0,1,0,0,0,1,80,10361.616246256426,0,3.4829250394647033,3.4829250394647033,0,1,0,0,0,1
1488.8751764511462,0,18.636569581493585,0,0,0,18.636569581493585,18.636569581493585,3.541001924404611,0,0.19158189935833042,0,0,0,0.19158189935833042,0.19158189935833042,0,1,0,0,0,1,80,8859.284430776906,0,3.541001924404611,3.541001924404611,0,1,0,0,0,1
1588.8751764511462,0,18.654601610700585,0,0,0,18.654601610700585,18.654601610700585,3.595652105219301,0,0.16204091604647325,0,0,0,0.16204091604647325,0.16204091604647325,0,1,0,0,0,1,80,7493.226497323201,0,3.595652105219301,3.595652105219301,0,1,0,0,0,1
1688.8751764511462,0,18.669930304517877,0,0,0,18.669930304517877,18.669930304517877,3.6428206830466934,0,0.13769388345806674,0,0,0,0.13769388345806674,0.13769388345806674,0,1,0,0,0,1,80,6367.351414820483,0,3.6428206830466934,3.6428206830466934,0,1,0,0,0,1
1788.8751764511462,0,18.682912594652596,0,0,0,18.682912594652596,18.682912594652596,3.6834817962284774,0,0.11657719044520691,0,0,0,0.11657719044520691,0.11657719044520691,0,1,0,0,0,1,80,5390.856295683905,0,3.6834817962284774,3.6834817962284774,0,1,0,0,0,1
1888.8751764511462,0,18.69393993131146,0,0,0,18.69393993131146,18.69393993131146,3.7185618664485105,0,0.09899329088450778,0,0,0,0.09899329088450778,0.09899329088450778,0,1,0,0,0,1,80,4577.727455578412,0,3.7185618664485105,3.7185618664485105,0,1,0,0,0,1
1988.8751764511462,0,18.70332907349217,0,0,0,18.70332907349217,18.70332907349217,3.7489454147823267,0,0.08426569826059598,0,0,0,0.08426569826059598,0.08426569826059598,0,1,0,0,0,1,80,3896.6822604276554,0,3.7489454147823267,3.7489454147823267,0,1,0,0,0,1
2088.875176451146,0,18.711371405517117,0,0,0,18.711371405517117,18.711371405517117,3.775406423482707,0,0.07216237916073324,0,0,0,0.07216237916073324,0.07216237916073324,0,1,0,0,0,1,80,3336.9908343520415,0,3.775406423482707,3.775406423482707,0,1,0,0,0,1
2188.875176451146,0,18.718276483377103,0,0,0,18.718276483377103,18.718276483377103,3.798486437421502,0,0.0619460444234618,0,0,0,0.0619460444234618,0.0619460444234618,0,1,0,0,0,1,80,2864.558858363395,0,3.798486437421502,3.798486437421502,0,1,0,0,0,1
2288.875176451146,0,18.724243389994225,0,0,0,18.724243389994225,18.724243389994225,3.8187285834524687,0,0.0535205617132758,0,0,0,0.0535205617132758,0.0535205617132758,0,1,0,0,0,1,80,2474.940903608082,0,3.8187285834524687,3.8187285834524687,0,1,0,0,0,1
2388.875176451146,0,18.72939973206787,0,0,0,18.72939973206787,18.72939973206787,3.8364679362410357,0,0.04624327990359281,0,0,0,0.04624327990359281,0.04624327990359281,0,1,0,0,0,1,80,2138.4189792987586,0,3.8364679362410357,3.8364679362410357,0,1,0,0,0,1
2488.875176451146,0,18.733857059603697,0,0,0,18.733857059603697,18.733857059603697,3.852006352509079,0,0.03996915107450723,0,0,0,0.03996915107450723,0.03996915107450723,0,1,0,0,0,1,80,1848.2856627465362,0,3.852006352509079,3.852006352509079,0,1,0,0,0,1
2588.875176451146,0,18.737758570529685,0,0,0,18.737758570529685,18.737758570529685,3.8657768304865385,0,0.03498106933171307,0,0,0,0.03498106933171307,0.03498106933171307,0,1,0,0,0,1,80,1617.6227709421007,0,3.8657768304865385,3.8657768304865385,0,1,0,0,0,1
2688.875176451146,0,18.74118563231215,0,0,0,18.74118563231215,18.74118563231215,3.878017252038319,0,0.03072399029358125,0,0,0,0.03072399029358125,0.03072399029358125,0,1,0,0,0,1,80,1420.7634947295433,0,3.878017252038319,3.878017252038319,0,1,0,0,0,1
2788.875176451146,0,18.744204878115887,0,0,0,18.744204878115887,18.744204878115887,3.888915007688013,0,0.027065400927153774,0,0,0,0.027065400927153774,0.027065400927153774,0,1,0,0,0,1,80,1251.580059753918,0,3.888915007688013,3.888915007688013,0,1,0,0,0,1
2888.875176451146,0,18.746872646265732,0,0,0,18.746872646265732,18.746872646265732,3.8986573550400863,0,0.023912698228039805,0,0,0,0.023912698228039805,0.023912698228039805,0,1,0,0,0,1,80,1105.7902433324418,0,3.8986573550400863,3.8986573550400863,0,1,0,0,0,1
2988.875176451146,0,18.74919857016628,0,0,0,18.74919857016628,18.74919857016628,3.9072454988522622,0,0.02084705464070857,0,0,0,0.02084705464070857,0.02084705464070857,0,1,0,0,0,1,80,964.0262844484329,0,3.9072454988522622,3.9072454988522622,0,1,0,0,0,1
3088.875176451146,0,18.751267989058817,0,0,0,18.751267989058817,18.751267989058817,3.9149656719366703,0,0.01854682083942759,0,0,0,0.01854682083942759,0.01854682083942759,0,1,0,0,0,1,80,857.6570211146353,0,3.9149656719366703,3.9149656719366703,0,1,0,0,0,1
3188.875176451146,0,18.753114353637976,0,0,0,18.753114353637976,18.753114353637976,3.921919687008767,0,0.016546767809554705,0,0,0,0.016546767809554705,0.016546767809554705,0,1,0,0,0,1,80,765.1689586847931,0,3.921919687008767,3.921919687008767,0,1,0,0,0,1
3288.875176451146,0,18.75476529753487,0,0,0,18.75476529753487,18.75476529753487,3.9281961881586653,0,0.01479466531156531,0,0,0,0.01479466531156531,0.01479466531156531,0,1,0,0,0,1,80,684.1468243727719,0,3.9281961881586653,3.9281961881586653,0,1,0,0,0,1
3388.875176451146,0,18.75624459444191,0,0,0,18.75624459444191,18.75624459444191,3.933869291086978,0,0.013255847134803512,0,0,0,0.013255847134803512,0.013255847134803512,0,1,0,0,0,1,80,612.9875553560064,0,3.933869291086978,3.933869291086978,0,1,0,0,0,1
3488.875176451146,0,18.757572835611672,0,0,0,18.757572835611672,18.757572835611672,3.9390071892736955,0,0.011901736676709566,0,0,0,0.011901736676709566,0.011901736676709566,0,1,0,0,0,1,80,550.3696893721956,0,3.9390071892736955,3.9390071892736955,0,1,0,0,0,1
3588.875176451146,0,18.758729267743327,0,0,0,18.758729267743327,18.758729267743327,3.9435166337241867,0,0.010361845164276434,0,0,0,0.010361845164276434,0.010361845164276434,0,1,0,0,0,1,80,479.16078630318464,0,3.9435166337241867,3.9435166337241867,0,1,0,0,0,1
3688.875176451146,0,18.759774851214978,0,0,0,18.759774851214978,18.759774851214978,3.9476253067379616,0,0.009368297403826878,0,0,0,0.009368297403826878,0.009368297403826878,0,1,0,0,0,1,80,433.21635086922583,0,3.9476253067379616,3.9476253067379616,0,1,0,0,0,1
3788.875176451146,0,18.76072255085288,0,0,0,18.76072255085288,18.76072255085288,3.9513765549973527,0,0.0084910029082566,0,0,0,0.0084910029082566,0.0084910029082566,0,1,0,0,0,1,80,392.64779250414193,0,3.9513765549973527,3.9513765549973527,0,1,0,0,0,1
3888.875176451146,0,18.761582887899834,0,0,0,18.761582887899834,18.761582887899834,3.9548051628379994,0,0.007708047550298355,0,0,0,0.007708047550298355,0.007708047550298355,0,1,0,0,0,1,80,356.4417404919991,0,3.9548051628379994,3.9548051628379994,0,1,0,0,0,1
3988.875176451146,0,18.76236508024709,0,0,0,18.76236508024709,18.76236508024709,3.95794420075714,0,0.007007738196759907,0,0,0,0.007007738196759907,0.007007738196759907,0,1,0,0,0,1,80,324.05747155369846,0,3.95794420075714,3.95794420075714,0,1,0,0,0,1
4088.875176451146,0,18.763077335665155,0,0,0,18.763077335665155,18.763077335665155,3.9608214248194713,0,0.00638101209679633,0,0,0,0.00638101209679633,0.00638101209679633,0,1,0,0,0,1,80,295.0758986683401,0,3.9608214248194713,3.9608214248194713,0,1,0,0,0,1
4188.875176451146,0,18.763726839431595,0,0,0,18.763726839431595,18.763726839431595,3.9634617632924005,0,0.005818698323475675,0,0,0,0.005818698323475675,0.005818698323475675,0,1,0,0,0,1,80,269.07293244931617,0,3.9634617632924005,3.9634617632924005,0,1,0,0,0,1
4288.875176451146,0,18.76428047836055,0,0,0,18.76428047836055,18.76428047836055,3.9657263747421325,0,0.004959781236994148,0,0,0,0.004959781236994148,0.004959781236994148,0,1,0,0,0,1,80,229.35419703078054,0,3.9657263747421325,3.9657263747421325,0,1,0,0,0,1
4388.875176451146,0,18.764789500458186,0,0,0,18.764789500458186,18.764789500458186,3.9678201997669476,0,0.00456000055075163,0,0,0,0.00456000055075163,0.00456000055075163,0,1,0,0,0,1,80,210.86721667816798,0,3.9678201997669476,3.9678201997669476,0,1,0,0,0,1
4488.875176451146,0,18.765258666956875,0,0,0,18.765258666956875,18.765258666956875,3.9697604736589938,0,0.0042028914146595465,0,0,0,0.0042028914146595465,0.0042028914146595465,0,1,0,0,0,1,80,194.3534885020452,0,3.9697604736589938,3.9697604736589938,0,1,0,0,0,1
