time,position,CO2 mass frac. - gas,CO2 mass frac. - oil,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Physical flow regime ID - gas/liquid,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil,Wall temperature - inner surface
[s],[m],[-],[-],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[Bar],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[?],[?],[-],[-],[-],[-],[C]
0,0,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.3232271929771917,0,0,0,2.3232271929771917,2.3232271929771917,,,,,,,,2.3232271929771913,2.3232271929771913,,,,,,,
0,433.33333333333326,,,0,,,,,,,0,46,0,0,0,46,46,,,0,2.3537588892714525,0,0,0,2.3537588892714525,2.3537588892714525,,,,,,,,2.3545679632846195,2.3545679632846164,,,,,,,
0,449.9999999999999,1,1,,255.23524497939536,4305.095465699955,0,4305.095465699955,398.3480444532532,425.2186540488346,,,,,,,,4,148.44352483510326,,,,,,,,2.5622822338708033,2.5622822338708033,2.5622822338708033,4,,,,,,0,1,0,0,0,1,2.69531379554752
0,466.6666666666666,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.3553775937063817,0,0,0,2.3553775937063817,2.3553775937063817,,,,,,,,2.356136484779968,2.356136484779965,,,,,,,
0,483.33333333333326,1,1,,247.88696681958325,4304.175813578717,0,4304.175813578717,398.3401691446575,425.2186540488346,,,,,,,,4,148.35933539837683,,,,,,,,2.662209169127948,2.662209169127948,2.662209169127948,4,,,,,,0,1,0,0,0,1,2.7860185229180274
0,499.9999999999999,,,0,,,,,,,0,46,0,0,0,46,46,,,0,2.3568958650331018,0,0,0,2.3568958650331018,2.3568958650331018,,,,,,,,2.3576079781936987,2.3576079781936956,,,,,,,
0,516.6666666666665,1,1,,240.77160252420668,4303.323966754286,0,4303.323966754286,398.3328717520145,425.2186540488346,,,,,,,,4,148.27509479740704,,,,,,,,2.7549697439084753,2.7549697439084753,2.7549697439084753,4,,,,,,0,1,0,0,0,1,2.8702150235454837
0,533.3333333333333,,,0,,,,,,,0,46,0,0,0,46,46,,,0,2.3583205218004744,0,0,0,2.3583205218004744,2.3583205218004744,,,,,,,,2.3589890425080076,2.3589890425080045,,,,,,,
0,550,1,1,,233.8961055115392,4302.5346203286745,0,4302.5346203286745,398.32610743192384,425.2186540488346,,,,,,,,4,148.19080617295634,,,,,,,,2.8410803523536856,2.8410803523536856,2.8410803523536856,4,,,,,,0,1,0,0,0,1,2.9483727261724084
0,566.6666666666666,,,0,,,,,,,0,46.00000000000001,0,0,0,46.00000000000001,46.00000000000001,,,0,2.3596579423384383,0,0,0,2.3596579423384383,2.3596579423384383,,,,,,,,2.360285849000286,2.3602858490002827,,,,,,,
0,583.3333333333333,1,1,,227.26448379235316,4301.802913065637,0,4301.802913065637,398.3198350399749,425.2186540488346,,,,,,,,4,148.10647245174212,,,,,,,,2.9210199289205434,2.9210199289205434,2.9210199289205434,4,,,,,,0,1,0,0,0,1,3.0209269411183755
