time,Temperature - average,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure
[s],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa]
1009.0137056383521,0,0,40,0,0,0,40,40,91.53362515694168
1021.171254192153,0,0,40,0,0,0,40,40,91.53362504909953
1033.3288018229107,0,0,40,0,0,0,40,40,91.53362498890068
1045.4863485715407,0,0,40,0,0,0,40,40,91.53362496617375
1057.6438944789777,0,0,40,0,0,0,40,40,91.53362497273662
1069.8014395858554,0,0,40,0,0,0,40,40,91.53362500200177
1081.9589839322475,0,0,40,0,0,0,40,40,91.53362504866199
1094.1165275574608,0,0,40,0,0,0,40,40,91.53362510844029
1106.27407049987,0,0,40,0,0,0,40,40,91.53362517788979
1118.4316127967893,0,0,40,0,0,0,40,40,91.53362525423391
1130.5891544843714,0,0,40,0,0,0,40,40,91.53362533523863
1142.746695597534,0,0,40,0,0,0,40,40,91.53362541910965
1154.904236169905,0,0,40,0,0,0,40,40,91.53362550441003
1167.0617762337868,0,0,40,0,0,0,40,40,91.53362558999373
1179.2193158201333,0,0,40,0,0,0,40,40,91.53362567495181
1191.3768549585423,0,0,40,0,0,0,40,40,91.53362575856933
1203.5343936772556,0,0,40,0,0,0,40,40,91.53362584028983
1215.6919320031693,0,0,40,0,0,0,40,40,91.5336259196869
1227.8494699618516,0,0,40,0,0,0,40,40,91.53362599644063
1240.0070075775657,0,0,40,0,0,0,40,40,91.53362607031865
1252.1645448732986,0,0,40,0,0,0,40,40,91.5336261411602
1264.3220818707946,0,0,40,0,0,0,40,40,91.53362620886328
1276.4796185905905,0,0,40,0,0,0,40,40,91.53362627337387
1288.637155052055,0,0,40,0,0,0,40,40,91.5336263346772
1300.7946912734294,0,0,40,0,0,0,40,40,91.53362639279025
1312.9522272718696,0,0,40,0,0,0,40,40,91.5336264477555
1325.1097630634902,0,0,40,0,0,0,40,40,91.5336264996359
1337.267298663408,0,0,40,0,0,0,40,40,91.53362654851068
1349.4248340857862,0,0,40,0,0,0,40,40,91.53362659447149
1361.5823693438792,0,0,40,0,0,0,40,40,91.53362663761936
1373.739904450076,0,0,40,0,0,0,40,40,91.53362667806245
1385.8974394159436,0,0,40,0,0,0,40,40,91.53362671591354
1398.0549742522696,0,0,40,0,0,0,40,40,91.53362675128852
1410.2125089691042,0,0,40,0,0,0,40,40,91.5336267843047
1422.3700435758,0,0,40,0,0,0,40,40,91.53362681507973
1434.527578081053,0,0,40,0,0,0,40,40,91.53362684373042
1446.6851124929385,0,0,40,0,0,0,40,40,91.53362687037192
1458.84264681895,0,0,40,0,0,0,40,40,91.53362689511718
1471.0001810660333,0,0,40,0,0,0,40,40,91.53362691807615
1483.1577152406212,0,0,40,0,0,0,40,40,91.53362693935551
1495.315249348666,0,0,40,0,0,0,40,40,91.53362695905834
1507.47278339567,0,0,40,0,0,0,40,40,91.53362697728372
1519.6303173867152,0,0,40,0,0,0,40,40,91.53362699412665
1531.7878513264923,0,0,40,0,0,0,40,40,91.533627009678
1543.945385219326,0,0,40,0,0,0,40,40,91.53362702402436
1556.1029190692016,0,0,40,0,0,0,40,40,91.53362703724791
1568.2604528797876,0,0,40,0,0,0,40,40,91.53362704942671
1580.4179866544594,0,0,40,0,0,0,40,40,91.53362706063457
1592.5755203963197,0,0,40,0,0,0,40,40,91.53362707094105
1604.7330541082185,0,0,40,0,0,0,40,40,91.53362708041176
1616.8905877927725,0,0,40,0,0,0,40,40,91.53362708910834
1629.0481214523816,0,0,40,0,0,0,40,40,91.5336270970887
1641.205655089246,0,0,40,0,0,0,40,40,91.53362710440703
1653.3631887053816,0,0,40,0,0,0,40,40,91.53362711111404
1665.5207223026339,0,0,40,0,0,0,40,40,91.53362711725708
1677.6782558826917,0,0,40,0,0,0,40,40,91.53362712288026
1689.8357894470992,0,0,40,0,0,0,40,40,91.53362712802469
1701.9933229972676,0,0,40,0,0,0,40,40,91.53362713272864
1714.1508565344864,0,0,40,0,0,0,40,40,91.53362713702761
1726.3083900599322,0,0,40,0,0,0,40,40,91.53362714095455
1738.4659235746792,0,0,40,0,0,0,40,40,91.53362714453984
1750.6234570797067,0,0,40,0,0,0,40,40,91.5336271478118
1762.7809905759077,0,0,40,0,0,0,40,40,91.53362715079649
1774.9385240640956,0,0,40,0,0,0,40,40,91.53362715351798
1787.0960575450117,0,0,40,0,0,0,40,40,91.53362715599856
1799.25359101933,0,0,40,0,0,0,40,40,91.53362715825867
1811.4111244876644,0,0,40,0,0,0,40,40,91.53362716031711
1823.5686579505734,0,0,40,0,0,0,40,40,91.53362716219131
1835.7261914085643,0,0,40,0,0,0,40,40,91.53362716389714
1847.8837248620987,0,0,40,0,0,0,40,40,91.53362716544927
1860.0412583115956,0,0,40,0,0,0,40,40,91.53362716686118
1872.1987917574359,0,0,40,0,0,0,40,40,91.53362716814517
1884.3563251999653,0,0,40,0,0,0,40,40,91.53362716931241
1896.5138586394976,0,0,40,0,0,0,40,40,91.53362717037334
1908.6713920763175,0,0,40,0,0,0,40,40,91.53362717133734
1920.8289255106833,0,0,40,0,0,0,40,40,91.53362717221316
1932.9864589428294,0,0,40,0,0,0,40,40,91.53362717300858
1945.1439923729681,0,0,40,0,0,0,40,40,91.53362717373089
1957.301525801292,0,0,40,0,0,0,40,40,91.53362717438664
1969.4590592279756,0,0,40,0,0,0,40,40,91.53362717498187
1981.616592653177,0,0,40,0,0,0,40,40,91.5336271755221
1993.7741260770392,0,0,40,0,0,0,40,40,91.5336271760123
2005.9316594996922,0,0,40,0,0,0,40,40,91.53362717645703
2018.089192921253,0,0,40,0,0,0,40,40,91.53362717686035
2030.246726341828,0,0,40,0,0,0,40,40,91.53362717722614
2042.4042597615135,0,0,40,0,0,0,40,40,91.53362717755779
2054.5617931803963,0,0,40,0,0,0,40,40,91.53362717785852
2066.719326598555,0,0,40,0,0,0,40,40,91.53362717813114
2078.8768600160615,0,0,40,0,0,0,40,40,91.53362717837815
2091.0343934329794,0,0,40,0,0,0,40,40,91.53362717860199
2103.191926849367,0,0,40,0,0,0,40,40,91.53362717880475
2115.3494602652772,0,0,40,0,0,0,40,40,91.5336271789884
2127.506993680757,0,0,40,0,0,0,40,40,91.53362717915473
2139.66452709585,0,0,40,0,0,0,40,40,91.53362717930538
2151.822060510595,0,0,40,0,0,0,40,40,91.53362717944177
2163.979593925026,0,0,40,0,0,0,40,40,91.5336271795652
2176.137127339176,0,0,40,0,0,0,40,40,91.53362717967688
2188.2946607530725,0,0,40,0,0,0,40,40,91.5336271797779
2200.4521941667417,0,0,40,0,0,0,40,40,91.53362717986928
2212.6097275802067,0,0,40,0,0,0,40,40,91.53362717995189
2224.767260993489,0,0,40,0,0,0,40,40,91.53362718002654
2236.924794406607,0,0,40,0,0,0,40,40,91.53362718009404
2249.0823278195776,0,0,40,0,0,0,40,40,91.53362718015507
2261.2398612324164,0,0,40,0,0,0,40,40,91.53362718021009
2273.397394645137,0,0,40,0,0,0,40,40,91.5336271802598
2285.554928057752,0,0,40,0,0,0,40,40,91.53362718030472
2297.7124614702725,0,0,40,0,0,0,40,40,91.53362718034516
2309.869994882709,0,0,40,0,0,0,40,40,91.53362718038167
2322.0275282950697,0,0,40,0,0,0,40,40,91.5336271804146
2334.1850617073637,0,0,40,0,0,0,40,40,91.53362718044426
2346.3425951195977,0,0,40,0,0,0,40,40,91.53362718047092
2358.5001285317785,0,0,40,0,0,0,40,40,91.53362718049495
2370.657661943912,0,0,40,0,0,0,40,40,91.53362718051658
2382.8151953560036,0,0,40,0,0,0,40,40,91.53362718053602
2394.972728768058,0,0,40,0,0,0,40,40,91.53362718055351
2407.130262180079,0,0,40,0,0,0,40,40,91.53362718056917
2419.2877955920712,0,0,40,0,0,0,40,40,91.53362718058327
2431.4453290040374,0,0,40,0,0,0,40,40,91.53362718059594
2443.602862415981,0,0,40,0,0,0,40,40,91.53362718060727
2455.760395827904,0,0,40,0,0,0,40,40,91.53362718061742
2467.91792923981,0,0,40,0,0,0,40,40,91.53362718062647
