time,MFR - total gas,MFR - total oil,MFR - total liquid,MFR - total,Opening fraction,Pressure (inlet),Pressure (outlet),Pressure drop
[s],[kg/s],[?],[kg/s],[kg/s],[-],[Pa],[Pa],[Pa]
467.3582386573007,0,46.00991036918959,46.00991036918959,46.00991036918959,0.22,131.5203502731564,80.00216785834196,51.43506032488087
478.24608510836003,0,46.009439267227826,46.009439267227826,46.009439267227826,0.22,131.51978997172347,80.00216790811479,51.43444990155202
489.13395206000183,0,46.008985207018945,46.008985207018945,46.008985207018945,0.22,131.51925907281756,80.00216795447587,51.43386885641245
500.0218370969136,0,46.00854896110923,46.00854896110923,46.00854896110923,0.22,131.51875601324863,80.00216799871282,51.433318387651006
510.9097379647896,0,46.00812896794472,46.00812896794472,46.00812896794472,0.22,131.5182792820311,80.00216804253157,51.43279544678192
521.797652373828,0,46.00772483160091,46.00772483160091,46.00772483160091,0.22,131.51782760574943,80.00216808332257,51.43229903740866
532.685578328916,0,46.00733603972966,46.00733603972966,46.00733603972966,0.22,131.5173997034457,80.0021681238304,51.43182795625513
543.5735139183774,0,46.00696230957108,46.00696230957108,46.00696230957108,0.22,131.51699468769053,80.00216816359898,51.43138148203543
554.4614573068875,0,46.006603280215984,46.006603280215984,46.006603280215984,0.22,131.51661171157264,80.00216820281281,51.43095870206759
565.3494067759765,0,46.00625815638641,46.00625815638641,46.00625815638641,0.22,131.51624925428519,80.0021682407314,51.43055774321708
576.2373607922094,0,46.00592674430203,46.00592674430203,46.00592674430203,0.22,131.51590650209087,80.00216827783974,51.43017805026458
587.1253179985184,0,46.00560888295063,46.00560888295063,46.00560888295063,0.22,131.51558287407758,80.00216831464604,51.42981931281124
598.0132769554447,0,46.00530400400963,46.00530400400963,46.00530400400963,0.22,131.51527715072768,80.00216835054174,51.42947976785496
608.9012364896668,0,46.0050119298108,46.0050119298108,46.0050119298108,0.22,131.51498883139797,80.00216838603183,51.429159138425234
619.7891954587221,0,46.00473233185304,46.00473233185304,46.00473233185304,0.22,131.51471714262246,80.00216842099422,51.42885658403522
630.6771527958771,0,46.00446499913886,46.00446499913886,46.00446499913886,0.22,131.5144614077574,80.00216845514741,51.428571540747846
641.5651076029643,0,46.00420949530834,46.00420949530834,46.00420949530834,0.22,131.51422093303125,80.00216848947234,51.42830296093618
652.4530590244998,0,46.003965395836545,46.003965395836545,46.003965395836545,0.22,131.51399468337215,80.00216852254137,51.4280498531781
663.3410063445722,0,46.00373268773014,46.00373268773014,46.00373268773014,0.22,131.5137822167008,80.00216855517954,51.42781215133156
674.228948855135,0,46.003510980962254,46.003510980962254,46.003510980962254,0.22,131.51358295866984,80.00216858726498,51.42758897261876
685.1168859597326,0,46.003299567014516,46.003299567014516,46.003299567014516,0.22,131.51339610801222,80.00216861837583,51.427378754244344
696.0048172317876,0,46.0030986197503,46.0030986197503,46.0030986197503,0.22,131.5132209915677,80.00216864889596,51.42718192076747
706.8927422041958,0,46.00290774325561,46.00290774325561,46.00290774325561,0.22,131.51305713319238,80.00216867877334,51.42699764087515
717.7806605001712,0,46.00272642553629,46.00272642553629,46.00272642553629,0.22,131.5129040866892,80.00216870780548,51.42682501140934
728.6685718383278,0,46.002399572275586,46.002399572275586,46.002399572275586,0.22,131.5126588032064,80.00216843335075,51.42630674033947
739.5564995163319,0,46.00239240315366,46.00239240315366,46.00239240315366,0.22,131.51259553290268,80.00216876222717,51.42650370071119
750.4443975717105,0,46.002239431201666,46.002239431201666,46.002239431201666,0.22,131.5124875257608,80.00216880034309,51.426366340592814
761.3322882260778,0,46.00196710791481,46.00196710791481,46.00196710791481,0.22,131.51229400834973,80.00216857559076,51.425943421604714
772.2201904830722,0,46.00195879053742,46.00195879053742,46.00195879053742,0.22,131.5122493479209,80.00216884928768,51.42611074333321
783.1080665992943,0,46.00171775421875,46.00171775421875,46.00171775421875,0.22,131.51208813728093,80.00216865782262,51.425741099098
793.9959521666725,0,46.00170942406843,46.00170942406843,46.00170942406843,0.22,131.51205574138663,80.00216890266667,51.42589141305627
804.8838137730867,0,46.001497009985854,46.001497009985854,46.001497009985854,0.22,131.5119179910381,80.00216873371856,51.42556972670642
815.7716827708404,0,46.00148844668866,46.00148844668866,46.00148844668866,0.22,131.51189243326985,80.00216894795012,51.42570327642662
826.6595299915248,0,46.00130160812731,46.00130160812731,46.00130160812731,0.22,131.51177402022094,80.00216880033074,51.42542354719903
837.5473829169736,0,46.0012930654576,46.0012930654576,46.0012930654576,0.22,131.5117534432732,80.00216898859065,51.425541770678024
848.4352161054303,0,46.00112908220569,46.00112908220569,46.00112908220569,0.22,131.51165153261914,80.0021688596165,51.42529884036063
859.3230536664935,0,46.00105097325644,46.00105097325644,46.00105097325644,0.22,131.511583601961,80.00216886720312,51.425240961527074
870.2108840486194,0,46.00097728145081,46.00097728145081,46.00097728145081,0.22,131.51152614787384,80.00216888692087,51.42518680726482
881.0987077973139,0,46.000908612136676,46.000908612136676,46.000908612136676,0.22,131.51147609234766,80.00216891142621,51.42513789634128
891.9865250541458,0,46.00084458277493,46.00084458277493,46.00084458277493,0.22,131.51143177234738,80.0021689369482,51.425093555352966
902.8743359797357,0,46.00078484220979,46.00078484220979,46.00078484220979,0.22,131.51139209060878,80.00216896181117,51.42505320189106
913.7621407597177,0,46.00072909026043,46.00072909026043,46.00072909026043,0.22,131.51135628868602,80.0021689853607,51.425016380034506
924.6499395978648,0,46.00067706269166,46.00067706269166,46.00067706269166,0.22,131.5113238188385,80.00216900741187,51.42498272087508
935.537732710536,0,46.00062852119725,46.00062852119725,46.00062852119725,0.22,131.51129426737523,80.0021690279807,51.424951916120925
946.4255203223801,0,46.00058324717316,46.00058324717316,46.00058324717316,0.22,131.51126730831123,80.0021690471579,51.42492370141188
957.313302662965,0,46.000541037779314,46.000541037779314,46.000541037779314,0.22,131.51124267504173,80.0021690650529,51.42489784557106
968.2010799641002,0,46.000501703380294,46.000501703380294,46.000501703380294,0.22,131.51122014277513,80.00216908177111,51.42487414348995
979.088852457685,0,46.000465065828095,46.000465065828095,46.000465065828095,0.22,131.5111995174301,80.00216909740664,51.42485241127094
989.9766203739691,0,46.00043095726257,46.00043095726257,46.00043095726257,0.22,131.5111806284468,80.00216911204119,51.424832482789306
1000.8643839401421,0,46.000399301499044,46.000399301499044,46.000399301499044,0.22,131.51116342248594,80.00216912588242,51.424814388382956
1011.7521433590124,0,46.000369903633164,46.000369903633164,46.000369903633164,0.22,131.51114777066306,80.00216913878121,51.424798048352805
1022.6398988287091,0,46.0003424276232,46.0003424276232,46.0003424276232,0.22,131.5111332759573,80.00216915068343,51.42478255212156
1033.527650619378,0,46.00031688105615,46.00031688105615,46.00031688105615,0.22,131.51111988380399,80.00216916176444,51.42476830505119
1044.4153989369165,0,46.000293185335245,46.000293185335245,46.000293185335245,0.22,131.51110761189705,80.00216917223173,51.4247553065983
1055.3031439671854,0,46.0002711981696,46.0002711981696,46.0002711981696,0.22,131.51109637636353,80.00216918206947,51.42474340730679
1066.190885899945,0,46.00025080289008,46.00025080289008,46.00025080289008,0.22,131.51108608653496,80.00216919129093,51.42473250734823
1077.078624918001,0,46.00023189112234,46.00023189112234,46.00023189112234,0.22,131.51107665990907,80.00216919991966,51.42472251826318
1087.9663611968342,0,46.000214361854326,46.000214361854326,46.000214361854326,0.22,131.51106802182744,80.00216920798427,51.42471336126902
