time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,CO2 mGas total,CO2 mOil total,CO2 mTotal
[s],[m],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[?],[?],[?]
410.43280976506406,425,,312.07929320972573,4108.212917523298,0,4108.212917523298,396.58941114095444,425.2186540488346,,,,,,,,129.40289982065462,6.32333859661685,6.32333859661685,6.32333859661685,,,
410.43280976506406,450,0,,,,,,,0,46.21708925277353,0,0,0,46.21708925277353,46.21708925277353,,,,,,,
410.43280976506406,475,,329.36823461683576,4085.085056049918,0,4085.085056049918,396.3727772678987,425.2186540488346,,,,,,,,129.26724467173503,6.655729769117727,6.655729769117727,6.655729769117727,,,
410.43280976506406,500,0,,,,,,,0,45.920853855178045,0,0,0,45.920853855178045,45.920853855178045,,,,,,,
410.43280976506406,525,,340.70561433218364,4063.825208271937,0,4063.825208271937,396.1716776379682,425.2186540488346,,,,,,,,129.13295294783373,6.907053637695185,6.907053637695185,6.907053637695185,,,
410.43280976506406,550,0,,,,,,,0,45.6413839591646,0,0,0,45.6413839591646,45.6413839591646,,,,,,,
410.43280976506406,575,,347.8851535708665,4044.1456048786526,0,4044.145604878652,395.983825816639,425.2186540488346,,,,,,,,128.99999663610603,7.089773817909133,7.089773817909133,7.089773817909133,,,
410.43280976506406,600,0,,,,,,,0,45.37718716677193,0,0,0,45.37718716677193,45.37718716677193,,,,,,,
410.43280976506406,625,,352.23535736930893,4025.7186026375666,0,4025.7186026375666,395.80642942467455,425.2186540488346,,,,,,,,128.8683469826083,7.2175654359992905,7.2175654359992905,7.2175654359992905,,,
410.43280976506406,650,0,,,,,,,0,45.12589134760146,0,0,0,45.12589134760146,45.12589134760146,,,,,,,
410.43280976506406,675,,354.70387879223966,4008.2330175067405,0,4008.2330175067405,395.63673668948854,425.2186540488346,,,,,,,,128.73797730712474,7.303453618126639,7.303453618126639,7.303453618126639,,,
410.43280976506406,700,0,,,,,,,0,44.88486995421653,0,0,0,44.88486995421653,44.88486995421653,,,,,,,
