time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s]
202.40932859327432,525,,916.8930290624767,9103.742547673935,0,9103.742547673935,418.77281704734145,425.2186540488346,,,,,,,,88.60887650297146,31.567461818613367,31.567461818613367,31.567461818613367,4,,,,,
202.40932859327432,550,0,,,,,,,0,100.90492809401556,0,-1.2634012326443956e-40,0,100.90492809401556,100.90492809401556,,,,,,,,,8.053957628878058,8.053957628878047
202.40932859327432,575,,877.576142379566,8812.469070649853,0,8812.469070649853,418.1370755976568,425.2186540488346,,,,,,,,87.6642698419295,30.779116368993982,30.779116368993982,30.779116368993982,4,,,,,
202.40932859327432,600,0,,,,,,,0,101.06393108600687,0,-1.761698919412353e-40,0,101.06393108600687,101.06393108600687,,,,,,,,,7.950263265900877,7.950263265900866
202.40932859327432,625,,862.3280685874697,8780.650068173276,0,8780.650068173276,418.0651927997155,425.2186540488346,,,,,,,,86.72931910097716,29.940065567375996,29.940065567375996,29.940065567375996,4,,,,,
202.40932859327432,650,0,,,,,,,0,101.24054549060175,0,-2.264800690933638e-40,0,101.24054549060175,101.24054549060175,,,,,,,,,7.8466451067803495,7.846645106780339
202.40932859327432,675,,846.8683488084291,8750.539234096272,0,8750.539234096272,417.99671052549513,425.2186540488346,,,,,,,,85.80563612362326,29.100543643659535,29.100543643659535,29.100543643659535,4,,,,,
202.40932859327432,700,0,,,,,,,0,101.43905619389756,0,-2.7019722236439546e-40,0,101.43905619389756,101.43905619389756,,,,,,,,,7.748725578670808,7.748725578670797
202.40932859327432,725,,831.1612537706316,8722.753667822612,0,8722.753667822612,417.9331173549295,425.2186540488346,,,,,,,,84.89173120723342,28.257239446374342,28.257239446374342,28.257239446374342,4,,,,,
202.40932859327432,750,0,,,,,,,0,101.66612458930746,0,-3.00887064936265e-40,0,101.66612458930746,101.66612458930746,,,,,,,,,7.656200989403577,7.656200989403567
202.40932859327432,775,,910.7264799804188,8697.86932156028,0,8697.86932156028,417.8758359324898,425.2186540488346,,,,,,,,83.98667895571465,27.405613040344008,27.405613040344008,27.405613040344008,4,,,,,
202.40932859327432,800,0,,,,,,,0,101.93125370171838,0,-3.1438368284890424e-40,0,101.93125370171838,101.93125370171838,,,,,,,,,7.568805275148869,7.5688052751488595
202.40932859327432,825,,1017.1817332745161,8676.567425332865,0,8676.567425332865,417.82655252425917,425.2186540488346,,,,,,,,83.0894889539622,26.539506615309676,26.539506615309676,26.539506615309676,4,,,,,
202.40932859327432,850,0,,,,,,,0,102.2468231223807,0,-3.0967794057067167e-40,0,102.2468231223807,102.2468231223807,,,,,,,,,7.486343386848937,7.486343386848927
202.40932859327432,875,,950.2956127961161,8659.208236814531,0,8659.208236814531,417.786220182646,425.2186540488346,,,,,,,,82.19908138290677,25.651184676052992,25.651184676052992,25.651184676052992,4,,,,,
202.40932859327432,900,0,,,,,,,0,102.62745319468168,0,-2.8883928498746587e-40,0,102.62745319468168,102.62745319468168,,,,,,,,,7.408719616927048,7.408719616927038
202.40932859327432,925,,835.9376376476511,8647.193953829803,0,8647.193953829803,417.75821595594954,425.2186540488346,,,,,,,,81.31427247180343,24.73177677580577,24.73177677580577,24.73177677580577,4,,,,,
202.40932859327432,950,0,,,,,,,0,103.08858018453932,0,-2.561388618359213e-40,0,103.08858018453932,103.08858018453932,,,,,,,,,7.335947646715134,7.335947646715124
202.40932859327432,975,,744.3155771257884,8642.519460450614,0,8642.519460450614,417.74730010406256,425.2186540488346,,,,,,,,80.43377450702936,23.772078414313455,23.772078414313455,23.772078414313455,4,,,,,
202.40932859327432,1000,0,,,,,,,0,103.64436440094836,0,-2.1679407606857606e-40,0,103.64436440094836,103.64436440094836,,,,,,,,,7.322450786646918,7.322450786646908
400.43056208143196,0,0,,,,,,,0,100,0,0,0,100,100,,,,,,,,,9.298011238235741,9.298011238235741
400.43056208143196,25,,993.5653947572539,9312.975477140364,0,9312.975477140364,419.20605614278713,425.2186540488346,,,,,,,,98.51058899278055,39.471043033139495,39.471043033139495,39.471043033139495,4,,,,,
400.43056208143196,50,0,,,,,,,0,100.0004712576457,0,-2.403473106592271e-66,0,100.0004712576457,100.0004712576457,,,,,,,,,9.231051761923414,9.231051761923402
400.43056208143196,75,,994.7691328081659,9322.513603728497,0,9322.513603728497,419.22536322716934,425.2186540488346,,,,,,,,97.43199219122897,38.64912384518607,38.64912384518607,38.64912384518607,4,,,,,
400.43056208143196,100,0,,,,,,,0,100.00100539365224,0,-7.606170799499637e-65,0,100.00100539365224,100.00100539365224,,,,,,,,,9.099673472892249,9.099673472892237
400.43056208143196,125,,993.9178232574271,9324.147757742376,0,9324.147757742376,419.22866729788944,425.2186540488346,,,,,,,,96.37542814831473,37.8462762182624,37.8462762182624,37.8462762182624,4,,,,,
400.43056208143196,150,0,,,,,,,0,100.00161402003411,0,-1.2002420697528358e-63,0,100.00161402003411,100.00161402003411,,,,,,,,,8.97148218768511,8.971482187685098
400.43056208143196,175,,991.3399617565361,9318.806426892957,0,9318.806426892957,419.21786364070465,425.2186540488346,,,,,,,,95.3338101452282,37.05874451395778,37.05874451395778,37.05874451395778,4,,,,,
400.43056208143196,200,0,,,,,,,0,100.00230774279666,0,-1.258810127365119e-62,0,100.00230774279666,100.00230774279666,,,,,,,,,8.846647695299433,8.84664769529942
400.43056208143196,225,,986.8744551649818,9305.824861059704,0,9305.824861059704,419.1915570709292,425.2186540488346,,,,,,,,94.30673964453652,36.28475064959531,36.28475064959531,36.28475064959531,4,,,,,
400.43056208143196,250,0,,,,,,,0,100.00309579163672,0,-9.870873935366233e-62,0,100.00309579163672,100.00309579163672,,,,,,,,,8.72517686229062,8.725176862290608
400.43056208143196,275,,980.6073344264806,9285.324422574387,0,9285.324422574387,419.14987079902846,425.2186540488346,,,,,,,,93.29382860622079,35.52263236381225,35.52263236381225,35.52263236381225,4,,,,,
400.43056208143196,300,0,,,,,,,0,100.00398740806725,0,-6.1726369991288326e-61,0,100.00398740806725,100.00398740806725,,,,,,,,,8.60705122537752,8.607051225377509
400.43056208143196,325,,973.1256859311737,9259.267320241801,0,9259.267320241801,419.09663105974727,425.2186540488346,,,,,,,,92.29468992564892,34.77082789011786,34.77082789011786,34.77082789011786,4,,,,,
400.43056208143196,350,0,,,,,,,0,100.00499337870974,0,-3.2065296826810915e-60,0,100.00499337870974,100.00499337870974,,,,,,,,,8.492231740096413,8.492231740096402
400.43056208143196,375,,964.2806782691708,9226.708085450684,0,9226.708085450684,419.0297027642208,425.2186540488346,,,,,,,,91.30893980454589,34.027892517030864,34.027892517030864,34.027892517030864,4,,,,,
400.43056208143196,400,0,,,,,,,0,100.00611989704353,0,-1.4232940652071862e-59,0,100.00611989704353,100.00611989704353,,,,,,,,,8.380661630227022,8.380661630227012
400.43056208143196,425,,953.7232007894638,9187.168126402916,0,9187.168126402916,418.94781622623697,425.2186540488346,,,,,,,,90.33619932012755,33.292468848888234,33.292468848888234,33.292468848888234,4,,,,,
400.43056208143196,450,0,,,,,,,0,100.00739662399714,0,-5.510905732130312e-59,0,100.00739662399714,100.00739662399714,,,,,,,,,8.272271277731647,8.272271277731637
400.43056208143196,475,,942.3240024305393,9142.803062100584,0,9142.803062100584,418.85513242043845,425.2186540488346,,,,,,,,89.37609696314797,32.56328306776669,32.56328306776669,32.56328306776669,4,,,,,
400.43056208143196,500,0,,,,,,,0,100.0088426191992,0,-1.890973342611123e-58,0,100.0088426191992,100.0088426191992,,,,,,,,,8.166978852334303,8.166978852334292
