time,position,CO2 mass frac. - gas,CO2 mass frac. - oil,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Physical flow regime ID - gas/liquid,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil,Wall temperature - inner surface
[s],[m],[-],[-],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[Bar],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[?],[?],[-],[-],[-],[-],[C]
0,0,,,0,,,,,,,0,60.00000000000001,0,0,0,60.00000000000001,60.00000000000001,,,0,2.9721794170980553,0,0,0,2.9721794170980553,2.9721794170980553,,,,,,,,2.9721794170980544,2.9721794170980544,,,,,,,
960.3396333981792,866.666666666667,,,0,,,,,,,0,60.00026668093854,0,0,0,60.00026668093854,60.00026668093854,,,0,3.040920801190152,0,0,0,3.040920801190152,3.040920801190152,,,,,,,,3.041476104971542,3.041476104971538,,,,,,,
960.3396333981792,883.3333333333337,1,1,,103.62015688163015,5323.83810330137,0,5323.83810330137,405.52831366602027,425.2186540488346,,,,,,,,4,165.40627837860055,,,,,,,,3.159301043703124,3.159301043703124,3.159301043703124,4,,,,,,0,1,0,0,0,1,3.223098705387997
960.3396333981792,900.0000000000003,,,0,,,,,,,0,60.000314103832395,0,0,0,60.000314103832395,60.000314103832395,,,0,3.0420340159534796,0,0,0,3.0420340159534796,3.0420340159534796,,,,,,,,3.0425667591811534,3.0425667591811494,,,,,,,
960.3396333981792,916.666666666667,1,1,,101.94933583329819,5323.208701542578,0,5323.208701542579,405.52466135233567,425.2186540488346,,,,,,,,4,165.2649575854359,,,,,,,,3.2039801509097288,3.2039801509097288,3.2039801509097288,4,,,,,,0,1,0,0,0,1,3.2643422936317847
960.3396333981792,933.3333333333337,,,0,,,,,,,0,60.00036940320945,0,0,0,60.00036940320945,60.00036940320945,,,0,3.043102493714546,0,0,0,3.043102493714546,3.043102493714546,,,,,,,,3.0436127589925324,3.0436127589925284,,,,,,,
960.3396333981792,950.0000000000005,1,1,,100.31802378164437,5322.641857669622,0,5322.641857669622,405.52137136871755,425.2186540488346,,,,,,,,4,165.12358838407891,,,,,,,,3.245844541001304,3.245844541001304,3.245844541001304,4,,,,,,0,1,0,0,0,1,3.3029804938228153
960.3396333981792,966.6666666666671,,,0,,,,,,,0,60.0004334339941,0,0,0,60.0004334339941,60.0004334339941,,,0,3.044126444027664,0,0,0,3.044126444027664,3.044126444027664,,,,,,,,3.133953166991157,3.133953166991153,,,,,,,
960.3396333981792,983.3333333333337,1,1,,81.85906989140457,5367.241209964911,0,5367.241209964911,405.77826463498593,425.2186540488346,,,,,,,,4,80.00552425815712,,,,,,,,0.0825775622717515,0.0825775622717515,0.0825775622717515,4,,,,,,0,1,0,0,0,1,0.3784428962593438
960.3396333981792,1000.0000000000005,,,0,,,,,,,0,60.000512148773495,0,0,0,60.000512148773495,60.000512148773495,,,0,3.2292465648344755,0,0,0,3.2292465648344755,3.2292465648344755,,,,,,,,3.22924656483448,3.2292465648344755,,,,,,,
1028.411191152655,0,,,0,,,,,,,0,60,0,0,0,60,60,,,0,2.98723057658815,0,0,0,2.98723057658815,2.98723057658815,,,,,,,,2.987230655158451,2.987230655158451,,,,,,,
1028.411191152655,16.666666666666668,1,1,,160.8909062593757,5365.499194902709,0,5365.499194902709,405.7683046757881,425.2186540488346,,,,,,,,4,169.05359147112932,,,,,,,,0.23367548760256796,0.23367548760256796,0.23367548760256796,4,,,,,,0,1,0,0,0,1,0.5185051328132317
1028.411191152655,33.333333333333336,,,0,,,,,,,0,60.00000046505448,0,0,0,60.00000046505448,60.00000046505448,,,0,2.987230599741899,0,0,0,2.987230599741899,2.987230599741899,,,,,,,,2.9890550945615866,2.9890550945615826,,,,,,,
1028.411191152655,50,1,1,,158.22152751642062,5362.352875230242,0,5362.352875230242,405.75030045656086,425.2186540488346,,,,,,,,4,168.91485411314346,,,,,,,,0.4506768005615527,0.4506768005615527,0.4506768005615527,4,,,,,,0,1,0,0,0,1,0.7192407693611358
1028.411191152655,66.66666666666667,,,0,,,,,,,0,60.00000101033398,0,0,0,60.00000101033398,60.00000101033398,,,0,2.9908818465982425,0,0,0,2.9908818465982425,2.9908818465982425,,,,,,,,2.992615853196078,2.992615853196074,,,,,,,
1028.411191152655,83.33333333333334,1,1,,155.57842694800587,5359.403186936983,0,5359.403186936982,405.73340367774887,425.2186540488346,,,,,,,,4,168.77583784823446,,,,,,,,0.6549151196641674,0.6549151196641674,0.6549151196641674,4,,,,,,0,1,0,0,0,1,0.9081533370766124
1028.411191152655,100,,,0,,,,,,,0,60.000001653583844,0,0,0,60.000001653583844,60.000001653583844,,,0,2.994351903692546,0,0,0,2.994351903692546,2.994351903692546,,,,,,,,2.995999939775481,2.995999939775477,,,,,,,
1028.411191152655,116.66666666666667,1,1,,152.96479459322362,5356.6369888055815,0,5356.636988805581,405.7175423628308,425.2186540488346,,,,,,,,4,168.63666546223936,,,,,,,,0.847141527935662,0.847141527935662,0.847141527935662,4,,,,,,0,1,0,0,0,1,1.0859405611529382
1028.411191152655,133.33333333333334,,,0,,,,,,,0,60.00000241439522,0,0,0,60.00000241439522,60.00000241439522,,,0,2.9976498289655233,0,0,0,2.9976498289655233,2.9976498289655233,,,,,,,,2.9992163148550515,2.9992163148550475,,,,,,,
1028.411191152655,150,1,1,,150.38334560807212,5354.042145343909,0,5354.042145343909,405.7026498222425,425.2186540488346,,,,,,,,4,168.49734468948046,,,,,,,,1.0280612413987456,1.0280612413987456,1.0280612413987456,4,,,,,,0,1,0,0,0,1,1.253257327102233
1028.411191152655,166.66666666666669,,,0,,,,,,,0,60.00000331396269,0,0,0,60.00000331396269,60.00000331396269,,,0,3.0007844837919686,0,0,0,3.0007844837919686,3.0007844837919686,,,,,,,,3.002273648570457,3.002273648570453,,,,,,,
1028.411191152655,183.33333333333337,1,1,,147.8363732744026,5351.60740784991,0,5351.607407849909,405.688664037846,425.2186540488346,,,,,,,,4,168.357882861076,,,,,,,,1.198338580554946,1.198338580554946,1.198338580554946,4,,,,,,0,1,0,0,0,1,1.4107203328480296
1028.411191152655,200.00000000000003,,,0,,,,,,,0,60.000004375019664,0,0,0,60.000004375019664,60.000004375019664,,,0,3.0037643452235265,0,0,0,3.0037643452235265,3.0037643452235265,,,,,,,,3.005180230439446,3.005180230439442,,,,,,,
1028.411191152655,216.66666666666669,1,1,,145.32543850884278,5349.316115304647,0,5349.316115304647,405.67549149328494,425.2186540488346,,,,,,,,4,168.21828693409697,,,,,,,,1.3585992019067703,1.3585992019067703,1.3585992019067703,4,,,,,,0,1,0,0,0,1,1.5589104144454495
1028.411191152655,233.33333333333337,,,0,,,,,,,0,60.00000562194095,0,0,0,60.00000562194095,60.00000562194095,,,0,3.0065975135804117,0,0,0,3.0065975135804117,3.0065975135804117,,,,,,,,3.007943977694164,3.00794397769416,,,,,,,
1028.411191152655,250.00000000000003,1,1,,142.85290645823474,5347.177333754101,0,5347.177333754101,405.6631863139538,425.2186540488346,,,,,,,,4,168.07856348945825,,,,,,,,1.5094323409653612,1.5094323409653612,1.5094323409653612,4,,,,,,0,1,0,0,0,1,1.6983735810997018
1028.411191152655,266.6666666666667,,,0,,,,,,,0,60.000007080912994,0,0,0,60.000007080912994,60.000007080912994,,,0,3.0092917215143284,0,0,0,3.0092917215143284,3.0092917215143284,,,,,,,,3.010572444696032,3.010572444696028,,,,,,,
