time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,CO2 mGas total,CO2 mOil total,CO2 mTotal
[s],[m],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[?],[?],[?]
607.3950807084179,600,0,,,,,,,0,29.963791549256356,0,0,0,29.963791549256356,29.963791549256356,,,,,,,
607.3950807084179,625,,119.86336679582618,3053.2887186830285,0,3053.2887186830285,383.78871031639795,425.2186540488346,,,,,,,,102.851855072946,3.4717396208464493,3.4717396208464493,3.4717396208464493,,,
607.3950807084179,650,0,,,,,,,0,29.95542663588762,0,0,0,29.95542663588762,29.95542663588762,,,,,,,
607.3950807084179,675,,110.1473292723298,3051.679913857663,0,3051.679913857663,383.7632799791029,425.2186540488346,,,,,,,,102.79529840834087,3.5767230637747502,3.5767230637747502,3.5767230637747502,,,
607.3950807084179,700,0,,,,,,,0,29.945689936554025,0,0,0,29.945689936554025,29.945689936554025,,,,,,,
607.3950807084179,725,,99.3776024554871,3049.9979354073125,0,3049.9979354073125,383.73666791136526,425.2186540488346,,,,,,,,102.73873318398385,3.6727740384257572,3.6727740384257572,3.6727740384257572,,,
607.3950807084179,750,0,,,,,,,0,29.934678974546554,0,0,0,29.934678974546554,29.934678974546554,,,,,,,
607.3950807084179,775,,86.68443166568117,3048.2528814357775,0,3048.2528814357775,383.7090307365344,425.2186540488346,,,,,,,,102.68216728281323,3.7603442235455873,3.7603442235455873,3.7603442235455873,,,
607.3950807084179,800,0,,,,,,,0,29.922578929432767,0,0,0,29.922578929432767,29.922578929432767,,,,,,,
607.3950807084179,825,,69.89420477438043,3046.4499049948686,0,3046.4499049948686,383.68044715099495,425.2186540488346,,,,,,,,102.62560771150271,3.839572463153786,3.839572463153786,3.839572463153786,,,
607.3950807084179,850,0,,,,,,,0,29.909638946902195,0,0,0,29.909638946902195,29.909638946902195,,,,,,,
607.3950807084179,875,,36.35405922614896,3044.5932198729743,0,3044.5932198729743,383.6509811688672,425.2186540488346,,,,,,,,102.56906051414308,3.910450710471082,3.910450710471082,3.910450710471082,,,
607.3950807084179,900,0,,,,,,,0,29.896141168888825,0,0,0,29.896141168888825,29.896141168888825,,,,,,,
607.3950807084179,925,,69.271307490892,3043.3554602092213,0,3043.3554602092213,383.63132020798736,425.2186540488346,,,,,,,,102.5125307328453,3.9729608431555903,3.9729608431555903,3.9729608431555903,,,
607.3950807084179,950,0,,,,,,,0,29.88236888336003,0,0,0,29.88236888336003,29.88236888336003,,,,,,,
607.3950807084179,975,,115.700464477288,3060.4788452130456,0,3060.4788452130456,383.9020786954095,425.2186540488346,,,,,,,,80.02922679378547,2.912425925415448,2.912425925415448,2.912425925415448,,,
607.3950807084179,1000,0,,,,,,,0,29.86899460314428,0,0,0,29.86899460314428,29.86899460314428,,,,,,,
803.7118563006011,0,0,,,,,,,0,30,0,0,0,30,30,,,,,,,
803.7118563006011,25,,236.50663316159637,3076.5077510530045,0,3076.5077510530045,384.1531408978076,425.2186540488346,,,,,,,,103.63098684979747,0.5400208165308982,0.5400208165308982,0.5400208165308982,,,
803.7118563006011,50,0,,,,,,,0,29.999714015103585,0,0,0,29.999714015103585,29.999714015103585,,,,,,,
803.7118563006011,75,,224.938835795661,3073.289930060947,0,3073.289930060947,384.10292371612366,425.2186540488346,,,,,,,,103.57550259317492,1.004300520381321,1.004300520381321,1.004300520381321,,,
803.7118563006011,100,0,,,,,,,0,29.999376635163976,0,0,0,29.999376635163976,29.999376635163976,,,,,,,
803.7118563006011,125,,213.7380564120516,3070.5487098765925,0,3070.5487098765925,384.06007170900256,425.2186540488346,,,,,,,,103.5197608400439,1.405458274882676,1.405458274882676,1.405458274882676,,,
803.7118563006011,150,0,,,,,,,0,29.99898441800284,0,0,0,29.99898441800284,29.99898441800284,,,,,,,
803.7118563006011,175,,202.99794948584477,3068.2134893259695,0,3068.2134893259695,384.02351363452493,425.2186540488346,,,,,,,,103.46386905359934,1.7522979119901265,1.7522979119901265,1.7522979119901265,,,
803.7118563006011,200,0,,,,,,,0,29.998534387602724,0,0,0,29.998534387602724,29.998534387602724,,,,,,,
803.7118563006011,225,,192.78140337084523,3066.2151765449994,0,3066.2151765449994,383.9921912027587,425.2186540488346,,,,,,,,103.40784611657813,2.0523578938344826,2.0523578938344826,2.0523578938344826,,,
803.7118563006011,250,0,,,,,,,0,29.998023753726375,0,0,0,29.998023753726375,29.998023753726375,,,,,,,
803.7118563006011,275,,183.12254702643213,3064.4971737708056,0,3064.4971737708056,383.9652339083049,425.2186540488346,,,,,,,,103.35170864483364,2.3121044424373167,2.3121044424373167,2.3121044424373167,,,
803.7118563006011,300,0,,,,,,,0,29.99744930496742,0,0,0,29.99744930496742,29.99744930496742,,,,,,,
803.7118563006011,325,,174.03018141191131,3063.0127989098046,0,3063.0127989098046,383.9419211859923,425.2186540488346,,,,,,,,103.29547124260255,2.5370941315539426,2.5370941315539426,2.5370941315539426,,,
803.7118563006011,350,0,,,,,,,0,29.996806338337073,0,0,0,29.996806338337073,29.996806338337073,,,,,,,
803.7118563006011,375,,165.4902004297414,3061.724206364713,0,3061.7242063647127,383.9216672752459,425.2186540488346,,,,,,,,103.23914673841671,2.7321138958252504,2.7321138958252504,2.7321138958252504,,,
803.7118563006011,400,0,,,,,,,0,29.99608705609237,0,0,0,29.99608705609237,29.99608705609237,,,,,,,
803.7118563006011,425,,157.4797198054502,3060.595139950124,0,3060.595139950124,383.9039085129751,425.2186540488346,,,,,,,,103.18274640137804,2.9013013963364642,2.9013013963364642,2.9013013963364642,,,
803.7118563006011,450,0,,,,,,,0,29.995278537420646,0,0,0,29.995278537420646,29.995278537420646,,,,,,,
803.7118563006011,475,,149.95072546644357,3059.600282721441,0,3059.6002827214415,383.88825118900587,425.2186540488346,,,,,,,,103.12628014423711,3.048247747702021,3.048247747702021,3.0482477477019643,,,
803.7118563006011,500,0,,,,,,,0,29.994360599523155,0,0,0,29.994360599523155,29.994360599523155,,,,,,,
803.7118563006011,525,,142.85272208798884,3058.713223853816,0,3058.713223853816,383.87428291236296,425.2186540488346,,,,,,,,103.06975671160168,3.1760827129721747,3.1760827129721747,3.1760827129721747,,,
803.7118563006011,550,0,,,,,,,0,29.993304128926297,0,0,0,29.993304128926297,29.993304128926297,,,,,,,
803.7118563006011,575,,136.12490085271406,3057.911063028822,0,3057.911063028822,383.861645400494,425.2186540488346,,,,,,,,103.0131838505496,3.2875428378887364,3.2875428378887364,3.2875428378887364,,,
803.7118563006011,600,0,,,,,,,0,29.99207052407181,0,0,0,29.99207052407181,29.99207052407181,,,,,,,
803.7118563006011,625,,129.7058245384202,3057.1493687928146,0,3057.1493687928146,383.8496400451583,425.2186540488346,,,,,,,,102.95656851164584,3.3850224659763057,3.3850224659763057,3.3850224659763057,,,
803.7118563006011,650,0,,,,,,,0,29.990612900747113,0,0,0,29.990612900747113,29.990612900747113,,,,,,,
803.7118563006011,675,,123.51350561061422,3056.4483497696497,0,3056.4483497696497,383.83858639150264,425.2186540488346,,,,,,,,102.89991690805977,3.4706103479921353,3.4706103479921353,3.4706103479921353,,,
803.7118563006011,700,0,,,,,,,0,29.988878945212157,0,0,0,29.988878945212157,29.988878945212157,,,,,,,
